"","V2","V4","Corner3 Usage","3s Assisted","Corner 3P%","3PA","Corner3Usage_percentile","Corner3Usage_ranking","Assisted3s_percentile","Assisted3s_ranking","Attempted3s_percentile","Attempted3s_ranking","Corner3_FGPct_percentile","Corner3_FGPct_ranking","Temp"
"566","Gui Santos","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"567","Harrison Barnes","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"568","Herbert Jones","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"569","Hugo González","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"570","Hunter Tyson","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"571","Immanuel Quickley","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"572","Isaac Okoro","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"573","Isaiah Collier","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"574","Isaiah Joe","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"575","Isaiah Livers","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"576","Isaiah Stewart","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"577","JD Davison","HOU",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"578","Ja Morant","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"579","Ja'Kobe Walter","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"580","Jabari Smith Jr.","HOU",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
