"","V2","V4","Short2 Usage","2s Assisted","Short 2P%","2PA","Short2Usage_percentile","Short2Usage_ranking","Assisted2s_percentile","Assisted2s_ranking","Attempted2s_percentile","Attempted2s_ranking","Short2_FGPct_percentile","Short2_FGPct_ranking","Temp"
"456","Trey Jemison","NYK",0.333,1,1,0.6,71,151,94,29,8,472,93,37,"Rate"
"457","Trey Murphy III","NOP",0.242,0.698,0.795,7.5,53,242,72,146,82,90,81,99,"Rate"
"458","Tristan Da Silva","ORL",0.168,0.574,0.707,4,36,329,49,264,60,207,58,216,"Rate"
"459","Tristan Vukcevic","WAS",0.206,0.83,0.692,3,46,277,90,53,51,254,49,260,"Rate"
"460","Tyler Herro","MIA",0.111,0.543,0.545,10.3,18,423,43,291,92,42,17,428,"Rate"
"461","Tyler Kolek","NYK",0.229,0.35,0.633,2.5,51,253,18,420,44,290,32,350,"Rate"
"462","Tyrese Martin","BRK",0.168,0.439,0.706,3.1,36,330,27,375,52,248,58,217,"Rate"
"463","Tyrese Maxey","PHI",0.238,0.383,0.65,13.5,53,243,21,404,98,9,36,331,"Rate"
"464","Tyrese Proctor","CLE",0.115,0.368,0.571,1.8,19,415,20,410,31,356,21,408,"Rate"
"465","Tyus Jones","ORL",0.06,0.571,0.571,1.3,8,473,48,265,21,405,20,409,"Rate"
"466","VJ Edgecombe","PHI",0.257,0.52,0.571,8.4,60,205,40,307,86,73,20,410,"Rate"
"467","Victor Wembanyama","SAS",0.34,0.601,0.784,12.2,73,138,53,242,97,17,76,121,"Rate"
"468","Vince Williams Jr.","MEM",0.139,0.367,0.435,3.3,25,383,20,411,54,238,10,462,"Rate"
