"","V2","V4","Short2 Usage","2s Assisted","Short 2P%","2PA","Short2Usage_percentile","Short2Usage_ranking","Assisted2s_percentile","Assisted2s_ranking","Attempted2s_percentile","Attempted2s_ranking","Short2_FGPct_percentile","Short2_FGPct_ranking","Temp"
"900","Ryan Kalkbrenner","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"901","Ryan Nembhard","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"902","Ryan Rollins","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"903","Saddiq Bey","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"904","Sam Hauser","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"905","Sam Merrill","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"906","Sandro Mamukelashvili","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"907","Santi Aldama","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"908","Scottie Barnes","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"909","Seth Curry","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"910","Shaedon Sharpe","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"911","Shai Gilgeous-Alexander","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"912","Sidy Cissoko","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"913","Simone Fontecchio","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"914","Sion James","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"915","Spencer Jones","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"916","Stephen Curry","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"917","Stephon Castle","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"918","Steven Adams","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"919","Svi Mykhailiuk","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"920","T.J. McConnell","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"921","Tari Eason","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"922","Taurean Prince","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"923","Taylor Hendricks","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"924","Terance Mann","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"925","Terrence Shannon Jr.","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"926","Thanasis Antetokounmpo","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"927","Thomas Bryant","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"928","Tidjane Salaün","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"929","Tim Hardaway Jr.","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"930","Tobias Harris","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"931","Tolu Smith","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"932","Tony Bradley","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"933","Toumani Camara","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"934","Trae Young","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"935","Trayce Jackson-Davis","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"936","Tre Johnson","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"937","Tre Jones","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"938","Tre Mann","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"939","Trendon Watford","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"940","Trentyn Flowers","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"941","Trey Alexander","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"942","Trey Jemison","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"943","Trey Murphy III","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"944","Tristan Da Silva","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"945","Tristan Vukcevic","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"946","Tyler Herro","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"947","Tyler Kolek","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"948","Tyrese Martin","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"949","Tyrese Maxey","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"950","Tyrese Proctor","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"951","Tyus Jones","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"952","VJ Edgecombe","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"953","Victor Wembanyama","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"954","Vince Williams Jr.","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"955","Vit Krejci","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"956","Walker Kessler","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"957","Walter Clayton","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"958","Wendell Carter Jr.","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"959","Wendell Moore Jr.","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"960","Will Richard","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"961","Will Riley","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"962","Xavier Tillman Sr.","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"963","Yang Hansen","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"964","Yanic Konan Niederhäuser","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"965","Yves Missi","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"966","Zaccharie Risacher","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"967","Zach Collins","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"968","Zach Edey","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"969","Zach LaVine","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"970","Zeke Nnaji","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"971","Ziaire Williams","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"972","Zion Williamson","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"973","A.J. Green","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"974","A.J. Lawson","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"975","AJ Johnson","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"976","Aaron Gordon","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"977","Aaron Holiday","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"978","Aaron Nesmith","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"979","Aaron Wiggins","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"980","Ace Bailey","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"981","Adem Bona","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"982","Adou Thiero","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"983","Ajay Mitchell","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"984","Al Horford","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"985","Alex Caruso","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"986","Alex Sarr","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"987","Alperen Şengün","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"988","Amen Thompson","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"989","Amir Coffey","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"990","Andre Drummond","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"991","Andre Jackson Jr.","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"992","Andrew Nembhard","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"993","Andrew Wiggins","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"994","Anfernee Simons","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"995","Anthony Black","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"996","Anthony Davis","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"997","Anthony Edwards","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"998","Anthony Gill","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"999","Antonio Reeves","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1000","Ariel Hukporti","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1001","Asa Newell","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1002","Ausar Thompson","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1003","Austin Reaves","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1004","Ayo Dosunmu","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1005","Bam Adebayo","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1006","Baylor Scheierman","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1007","Ben Saraf","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1008","Ben Sheppard","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1009","Bennedict Mathurin","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1010","Bilal Coulibaly","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1011","Bismack Biyombo","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1012","Blake Wesley","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1013","Bobby Portis","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1014","Bobi Klintman","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1015","Bogdan Bogdanović","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1016","Bones Hyland","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1017","Bradley Beal","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1018","Branden Carlson","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1019","Brandin Podziemski","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1020","Brandon Clarke","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1021","Brandon Ingram","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1022","Brandon Miller","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1023","Brandon Williams","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1024","Brice Sensabaugh","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1025","Bronny James","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1026","Brook Lopez","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1027","Brooks Barnhizer","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1028","Bruce Brown","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1029","Bryce McGowens","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1030","Bub Carrington","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1031","Buddy Hield","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1032","CJ McCollum","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1033","Cade Cunningham","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1034","Caleb Houstan","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1035","Caleb Love","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1036","Caleb Martin","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1037","Cam Christie","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1038","Cam Spencer","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1039","Cam Thomas","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1040","Cam Whitmore","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1041","Cameron Johnson","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1042","Caris LeVert","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1043","Carter Bryant","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1044","Cason Wallace","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1045","Cedric Coward","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1046","Charles Bassey","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1047","Chet Holmgren","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1048","Chris Boucher","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1049","Chris Livingston","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1050","Chris Paul","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1051","Chris Youngblood","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1052","Christian Braun","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1053","Christian Koloko","2TM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1054","Christian Koloko","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1055","Clint Capela","HOU",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1056","Coby White","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1057","Cody Martin","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1058","Cody Williams","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1059","Cole Anthony","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1060","Collin Gillespie","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1061","Collin Murray-Boyles","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1062","Collin Sexton","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1063","Cooper Flagg","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1064","Corey Kispert","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1065","Craig Porter Jr.","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1066","Curtis Jones","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1067","D'Angelo Russell","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1068","DaRon Holmes","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1069","Daeqwon Plowden","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1070","Dalen Terry","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1071","Dalton Knecht","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1072","Daniel Gafford","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1073","Daniss Jenkins","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1074","Danny Wolf","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1075","Darius Garland","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1076","David Jones García","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1077","Davion Mitchell","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1078","Day'Ron Sharpe","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1079","De'Aaron Fox","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1080","De'Andre Hunter","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1081","De'Anthony Melton","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1082","DeAndre Jordan","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1083","DeMar DeRozan","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1084","Dean Wade","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1085","Deandre Ayton","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1086","Deni Avdija","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1087","Dennis Schröder","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1088","Dereck Lively II","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1089","Derik Queen","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1090","Derrick Jones Jr.","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1091","Derrick White","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1092","Desmond Bane","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1093","Devin Booker","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1094","Devin Carter","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1095","Devin Vassell","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1096","Dillon Brooks","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1097","Domantas Sabonis","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1098","Dominick Barlow","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1099","Donovan Clingan","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1100","Donovan Mitchell","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1101","Donte DiVincenzo","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1102","Drake Powell","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1103","Draymond Green","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1104","Drew Eubanks","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1105","Drew Peterson","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1106","Dru Smith","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1107","Duncan Robinson","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1108","Duop Reath","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1109","Dwight Powell","DAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1110","Dylan Cardwell","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1111","Dylan Harper","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1112","Dyson Daniels","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1113","E.J. Liddell","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1114","Egor Dёmin","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1115","Elijah Harkless","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1116","Emanuel Miller","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1117","Eric Gordon","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1118","Ethan Thompson","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1119","Evan Mobley","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1120","Franz Wagner","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1121","GG Jackson II","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1122","Gabe Vincent","LAL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1123","Garrison Mathews","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1124","Gary Harris","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1125","Gary Payton II","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1126","Gary Trent Jr.","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1127","Giannis Antetokounmpo","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1128","Goga Bitadze","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1129","Gradey Dick","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1130","Grayson Allen","PHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1131","Guerschon Yabusele","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1132","Gui Santos","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1133","Harrison Barnes","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1134","Harrison Ingram","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1135","Herbert Jones","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1136","Hugo González","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1137","Hunter Sallis","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1138","Hunter Tyson","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1139","Immanuel Quickley","TOR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1140","Isaac Jones","2TM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1141","Isaac Jones","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1142","Isaac Jones","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1143","Isaac Okoro","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1144","Isaiah Collier","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1145","Isaiah Hartenstein","OKC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1146","Isaiah Jackson","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
