Table 1
,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
52,Evan Mobley,24,CLE,PF,29,27,957,0.501,11.0,0.710,0.359,0.232,0.084,0.036,0.290,0.570,0.801,0.330,0.394,0.214,0.333,0.648,0.868,0.201,73,0.105,0.250,1,0,,mobleev01
53,Russell Westbrook,37,SAC,SF,33,27,953,0.427,14.8,0.575,0.155,0.260,0.105,0.055,0.425,0.477,0.662,0.459,0.432,0.130,0.360,0.270,0.750,0.007,2,0.292,0.385,0,0,,westbru01
54,VJ Edgecombe,20,PHI,SG,27,27,951,0.420,14.1,0.593,0.257,0.186,0.092,0.058,0.407,0.451,0.571,0.380,0.343,0.318,0.374,0.520,0.948,0.073,23,0.129,0.300,0,0,,edgecvj01
55,Jaime Jaquez Jr.,24,MIA,SF,32,1,949,0.526,8.0,0.863,0.324,0.431,0.080,0.027,0.137,0.566,0.738,0.445,0.531,0.545,0.273,0.459,1.000,0.037,14,0.345,0.368,0,0,,jaqueja01
56,Jimmy Butler,36,GSW,SF,30,30,947,0.516,9.1,0.827,0.351,0.303,0.127,0.045,0.173,0.538,0.742,0.449,0.333,0.125,0.410,0.510,0.680,0.071,24,0.443,0.444,0,0,,butleji01
57,Anthony Edwards,24,MIN,SG,27,27,944,0.499,15.3,0.585,0.207,0.168,0.105,0.105,0.415,0.572,0.766,0.467,0.464,0.464,0.396,0.324,0.614,0.045,24,0.068,0.400,0,0,,edwaran01
58,Andrew Wiggins,30,MIA,SF,29,29,941,0.486,13.3,0.649,0.242,0.223,0.125,0.060,0.351,0.528,0.677,0.465,0.417,0.391,0.407,0.455,0.945,0.029,10,0.230,0.419,0,0,,wiggian01
59,Jeremiah Fears,19,NOP,PG,35,33,934,0.432,10.6,0.758,0.353,0.249,0.106,0.048,0.242,0.463,0.608,0.343,0.348,0.286,0.333,0.388,0.600,0.023,10,0.105,0.364,0,0,,fearsje01
60,Jaren Jackson Jr.,26,MEM,C,31,31,934,0.472,12.9,0.673,0.154,0.365,0.147,0.007,0.327,0.525,0.559,0.553,0.446,0.000,0.361,0.538,0.962,0.027,9,0.222,0.438,0,0,,jacksja02
61,Brandin Podziemski,22,GSW,SG,34,11,933,0.466,17.4,0.491,0.137,0.137,0.140,0.078,0.509,0.525,0.727,0.545,0.400,0.360,0.409,0.578,0.776,0.000,0,0.195,0.531,0,0,,podzibr01
62,Collin Gillespie,26,PHO,PG,33,14,932,0.445,20.1,0.369,0.074,0.112,0.137,0.046,0.631,0.467,0.481,0.488,0.420,0.529,0.433,0.333,0.750,0.000,0,0.156,0.639,0,0,,gilleco01
63,Quentin Grimes,25,PHI,SG,29,7,930,0.425,16.9,0.428,0.252,0.113,0.028,0.035,0.572,0.522,0.675,0.389,0.222,0.091,0.352,0.592,0.844,0.031,8,0.165,0.400,1,1,,grimequ01
64,Davion Mitchell,27,MIA,PG,31,31,929,0.483,12.7,0.645,0.248,0.293,0.066,0.037,0.355,0.545,0.533,0.592,0.375,0.556,0.372,0.365,0.813,0.000,0,0.116,0.000,0,0,,mitchda01
65,Duncan Robinson,31,DET,SF,31,31,926,0.423,21.5,0.190,0.075,0.100,0.014,0.000,0.810,0.585,0.714,0.536,0.250,,0.385,0.677,0.966,0.004,1,0.257,0.345,0,0,,robindu01
66,Alperen Şengün,23,HOU,C,26,26,926,0.508,9.7,0.858,0.251,0.375,0.174,0.059,0.142,0.539,0.685,0.506,0.468,0.346,0.317,0.405,0.900,0.063,24,0.095,0.500,0,0,,sengual01
67,Santi Aldama,25,MEM,PF,33,8,922,0.479,14.2,0.577,0.210,0.245,0.088,0.035,0.423,0.571,0.734,0.489,0.545,0.231,0.352,0.806,0.982,0.043,16,0.252,0.600,0,0,,aldamsa01
68,Jaylen Wells,22,MEM,SG,33,33,914,0.431,16.9,0.495,0.165,0.125,0.101,0.104,0.505,0.512,0.611,0.463,0.485,0.441,0.352,0.627,0.948,0.046,13,0.339,0.393,0,0,,wellsja01
69,Cason Wallace,22,OKC,SG,33,28,910,0.426,15.9,0.430,0.217,0.179,0.030,0.004,0.570,0.505,0.686,0.333,0.286,0.000,0.366,0.471,0.980,0.077,14,0.358,0.458,0,0,,wallaca01
70,Nic Claxton,26,BRK,C,30,30,910,0.585,4.7,0.960,0.509,0.382,0.055,0.015,0.040,0.606,0.750,0.467,0.200,0.750,0.091,0.606,1.000,0.262,65,0.091,0.000,0,0,,claxtni01
71,Julian Champagnie,24,SAS,SF,33,19,909,0.419,20.1,0.232,0.142,0.067,0.019,0.004,0.768,0.581,0.711,0.389,0.400,0.000,0.371,0.722,0.961,0.022,6,0.376,0.351,0,0,,champju02
