Table 1
,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
352,Noah Penda,21,ORL,SF,21,0,224,0.463,11.7,0.627,0.299,0.313,0.015,0.000,0.373,0.476,0.700,0.286,0.000,,0.440,0.500,0.909,0.075,5,0.280,0.286,0,0,,pendano01
353,KJ Simpson,23,CHO,PG,14,2,223,0.348,14.9,0.562,0.270,0.157,0.124,0.011,0.438,0.380,0.458,0.286,0.364,0.000,0.308,0.316,0.750,0.011,1,0.154,0.500,0,0,,simpskj01
354,Jalen Pickett,26,DEN,SG,18,2,215,0.414,19.1,0.414,0.138,0.069,0.052,0.155,0.586,0.500,0.625,0.250,0.667,0.444,0.353,0.500,0.917,0.017,1,0.235,0.375,0,0,,pickeja02
355,Ousmane Dieng,22,OKC,C,17,0,213,0.443,17.3,0.475,0.115,0.180,0.098,0.082,0.525,0.448,0.571,0.273,0.500,0.600,0.438,0.462,0.643,0.033,2,0.219,0.286,0,0,,diengou01
356,Jevon Carter,30,CHI,PG,16,0,211,0.395,20.5,0.259,0.123,0.049,0.025,0.062,0.741,0.333,0.400,0.250,0.500,0.200,0.417,0.571,0.800,0.000,0,0.333,0.450,0,0,,carteje01
357,Quenton Jackson,27,IND,PG,13,6,210,0.470,12.5,0.652,0.273,0.258,0.076,0.045,0.348,0.512,0.833,0.294,0.200,0.333,0.391,0.500,1.000,0.030,2,0.217,0.200,0,0,,jacksqu01
358,Ben Saraf,19,BRK,SG,12,5,203,0.355,15.8,0.468,0.194,0.210,0.048,0.016,0.532,0.448,0.500,0.462,0.333,0.000,0.273,0.231,0.889,0.048,2,0.242,0.000,0,0,,sarafbe01
359,Cam Christie,20,LAC,SG,20,0,200,0.344,14.5,0.531,0.203,0.250,0.078,0.000,0.469,0.382,0.692,0.188,0.200,,0.300,0.615,1.000,0.047,3,0.300,0.444,0,0,,chrisca02
360,Moussa Cisse,23,DAL,C,20,1,200,0.605,1.6,1.000,0.789,0.211,0.000,0.000,0.000,0.605,0.667,0.375,,,,0.739,,0.395,14,,,0,0,,cissemo01
361,Olivier-Maxence Prosper,23,MEM,PF,19,0,199,0.482,11.4,0.643,0.339,0.268,0.036,0.000,0.357,0.556,0.684,0.467,0.000,,0.350,0.750,1.000,0.125,7,0.650,0.385,0,0,,prospol01
362,Jamison Battle,24,TOR,SF,25,1,197,0.600,17.2,0.418,0.273,0.055,0.036,0.055,0.582,0.739,0.800,0.667,0.500,0.667,0.500,0.941,1.000,0.109,5,0.375,0.417,1,0,,battlja01
363,Kevon Looney,29,NOP,C,14,6,197,0.390,8.5,0.805,0.512,0.146,0.073,0.073,0.195,0.455,0.571,0.333,0.000,0.333,0.125,0.400,1.000,0.024,0,0.125,0.000,0,0,,looneke01
364,Duop Reath,29,POR,C,26,0,196,0.450,18.8,0.283,0.183,0.100,0.000,0.000,0.717,0.471,0.545,0.333,,,0.442,0.875,0.947,0.033,1,0.372,0.500,0,0,,reathdu01
365,Garrison Mathews,29,IND,SG,15,1,196,0.404,23.3,0.115,0.058,0.038,0.019,0.000,0.885,0.667,0.333,1.000,1.000,,0.370,1.000,1.000,0.000,0,0.370,0.471,0,0,,mathega01
366,Kenrich Williams,31,OKC,PF,14,0,196,0.500,15.0,0.532,0.290,0.129,0.032,0.081,0.468,0.606,0.667,0.500,0.500,0.600,0.379,0.600,0.909,0.016,1,0.241,0.429,0,0,,willike04
367,Ariel Hukporti,23,NYK,C,21,3,194,0.522,3.5,1.000,0.652,0.304,0.043,0.000,0.000,0.522,0.800,0.000,0.000,,,0.833,,0.174,4,,,0,0,,hukpoar01
368,Dalen Terry,23,CHI,SG,18,0,194,0.449,11.4,0.612,0.469,0.102,0.020,0.020,0.388,0.600,0.652,0.600,0.000,0.000,0.211,0.556,1.000,0.061,3,0.368,0.143,0,0,,terryda01
369,De'Anthony Melton,27,GSW,PG,10,0,194,0.329,15.5,0.526,0.105,0.316,0.053,0.053,0.474,0.475,1.000,0.292,0.500,0.500,0.167,0.368,0.833,0.000,0,0.333,0.083,0,0,,meltode01
370,Maxi Kleber,34,LAL,PF,16,0,192,0.310,16.2,0.483,0.138,0.207,0.138,0.000,0.517,0.429,0.250,0.500,0.500,,0.200,1.000,1.000,0.069,2,0.200,0.000,0,0,,klebima01
371,Carter Bryant,20,SAS,PF,25,0,191,0.339,15.1,0.468,0.306,0.065,0.097,0.000,0.532,0.379,0.474,0.000,0.333,,0.303,0.364,1.000,0.065,2,0.424,0.286,0,0,,bryanca01
372,Tyler Herro,26,MIA,SG,6,6,191,0.505,15.2,0.626,0.111,0.273,0.182,0.061,0.374,0.565,0.545,0.667,0.500,0.333,0.405,0.543,0.733,0.000,0,0.189,0.429,0,0,,herroty01
373,Kelly Olynyk,34,SAS,C,19,0,188,0.500,15.3,0.479,0.271,0.146,0.021,0.042,0.521,0.739,0.846,0.571,0.000,1.000,0.280,0.471,1.000,0.000,0,0.200,0.600,0,0,,olynyke01
374,Isaiah Livers,27,PHO,PF,16,0,185,0.344,21.2,0.188,0.125,0.031,0.031,0.000,0.813,0.500,0.750,0.000,0.000,,0.308,0.667,1.000,0.063,2,0.423,0.273,0,0,,liveris01
375,Zach Collins,28,CHI,C,10,0,184,0.578,10.8,0.672,0.422,0.156,0.078,0.016,0.328,0.651,0.778,0.400,0.400,1.000,0.429,0.821,1.000,0.016,1,0.429,0.556,0,0,,colliza01
376,Nigel Hayes-Davis,31,PHO,SF,21,0,175,0.333,15.5,0.643,0.048,0.286,0.262,0.048,0.357,0.444,0.500,0.583,0.364,0.000,0.133,0.417,1.000,0.000,0,0.200,0.000,0,0,,hayesni01
377,RayJ Dennis,24,2TM,PG,14,0,172,0.306,17.5,0.472,0.125,0.194,0.125,0.028,0.528,0.294,0.333,0.286,0.333,0.000,0.316,0.600,0.750,0.000,0,0.158,0.000,0,0,,dennira01
377,RayJ Dennis,24,IND,PG,13,0,168,0.306,17.5,0.472,0.125,0.194,0.125,0.028,0.528,0.294,0.333,0.286,0.333,0.000,0.316,0.600,0.750,0.000,0,0.158,0.000,0,0,,dennira01
377,RayJ Dennis,24,LAC,PG,1,0,4,,,,,,,,,,,,,,,,,,0,,,0,0,,dennira01
378,Amir Coffey,28,MIL,SG,22,0,169,0.423,15.8,0.538,0.154,0.192,0.077,0.115,0.462,0.571,1.000,0.400,0.500,0.333,0.250,0.375,1.000,0.038,1,0.667,0.125,0,0,,coffeam01
379,Taurean Prince,31,MIL,SF,8,0,169,0.447,19.8,0.263,0.105,0.105,0.000,0.053,0.737,0.500,0.750,0.250,,0.500,0.429,0.800,1.000,0.026,1,0.464,0.385,0,0,,princta02
380,Zeke Nnaji,25,DEN,PF,20,1,162,0.517,11.6,0.552,0.517,0.034,0.000,0.000,0.448,0.750,0.733,1.000,,,0.231,0.667,1.000,0.172,4,0.615,0.250,0,0,,nnajize01
381,Jamir Watkins,24,WAS,SG,14,2,162,0.500,16.5,0.393,0.250,0.107,0.036,0.000,0.607,0.818,1.000,0.333,1.000,,0.294,0.556,1.000,0.143,4,0.588,0.300,0,0,,watkija01
382,GG Jackson II,21,MEM,PF,13,1,162,0.390,14.2,0.542,0.237,0.203,0.102,0.000,0.458,0.594,0.571,0.750,0.333,,0.148,0.684,1.000,0.051,3,0.407,0.364,0,0,,jacksgg01
383,Kyle Anderson,32,UTA,SF,9,0,161,0.490,5.9,0.980,0.224,0.633,0.122,0.000,0.020,0.479,0.545,0.484,0.333,,1.000,0.522,1.000,0.041,1,1.000,1.000,0,0,,anderky01
384,Dylan Cardwell,24,SAC,C,9,1,161,0.522,5.3,0.957,0.391,0.522,0.043,0.000,0.043,0.545,0.667,0.500,0.000,,0.000,0.917,,0.348,6,1.000,0.000,0,0,,cardwdy01
385,Walker Kessler,24,UTA,C,5,5,154,0.703,7.5,0.784,0.459,0.324,0.000,0.000,0.216,0.690,0.647,0.750,,,0.750,0.600,1.000,0.270,9,0.250,1.000,0,0,,kesslwa01
386,Brooks Barnhizer,23,OKC,SG,20,0,153,0.462,8.3,0.808,0.385,0.346,0.038,0.038,0.192,0.524,0.700,0.444,0.000,0.000,0.200,0.636,1.000,0.115,2,0.600,0.333,0,0,,barnhbr01
387,Jae'Sean Tate,30,HOU,SF,19,0,149,0.524,11.3,0.690,0.262,0.333,0.071,0.024,0.310,0.586,0.727,0.571,0.000,1.000,0.385,0.588,0.800,0.000,0,0.462,0.500,0,0,,tateja01
388,Julian Strawther,23,DEN,SG,16,0,148,0.364,15.4,0.545,0.164,0.200,0.182,0.000,0.455,0.500,0.889,0.364,0.300,,0.200,0.800,1.000,0.018,1,0.360,0.222,0,0,,strawju01
389,Bronny James,21,LAL,SG,18,1,147,0.314,17.7,0.486,0.086,0.171,0.171,0.057,0.514,0.353,0.667,0.167,0.500,0.000,0.278,0.833,0.800,0.057,2,0.278,0.000,0,0,,jamesbr02
390,Malaki Branham,22,WAS,SG,17,0,143,0.447,12.8,0.617,0.255,0.298,0.064,0.000,0.383,0.586,0.750,0.429,0.667,,0.222,0.471,0.750,0.064,2,0.222,0.250,0,0,,branhma01
391,Jordan Miller,26,LAC,SF,11,0,142,0.500,14.4,0.528,0.250,0.250,0.028,0.000,0.472,0.579,0.778,0.444,0.000,,0.412,0.455,1.000,0.000,0,0.294,0.200,0,0,,millejo02
392,Yang Hansen,20,POR,C,17,1,140,0.300,13.8,0.580,0.240,0.280,0.060,0.000,0.420,0.414,0.750,0.214,0.000,,0.143,0.500,1.000,0.100,4,0.095,0.000,0,0,,yangha01
393,Josh Green,25,CHO,SG,9,0,140,0.475,19.2,0.225,0.150,0.075,0.000,0.000,0.775,0.667,0.833,0.333,,,0.419,0.667,1.000,0.025,1,0.710,0.500,0,0,,greenjo02
394,Chaz Lanier,24,DET,SG,14,0,136,0.333,24.2,0.119,0.000,0.024,0.048,0.048,0.881,0.400,,0.000,1.000,0.000,0.324,0.000,0.917,0.000,0,0.189,0.143,0,0,,laniech01
395,Mohamed Diawara,20,NYK,SF,25,4,135,0.440,16.2,0.460,0.280,0.100,0.040,0.040,0.540,0.435,0.500,0.200,0.500,0.500,0.444,0.700,0.917,0.000,0,0.185,1.000,0,0,,diawamo01
396,Rasheer Fleming,21,PHO,PF,18,0,128,0.353,16.0,0.412,0.314,0.020,0.059,0.020,0.588,0.571,0.688,1.000,0.000,0.000,0.200,0.833,1.000,0.078,4,0.433,0.231,0,0,,flemira01
397,Pat Connaughton,33,CHO,SG,16,0,128,0.500,18.1,0.342,0.132,0.184,0.026,0.000,0.658,0.692,0.400,1.000,0.000,,0.400,0.667,1.000,0.026,1,0.400,0.500,0,0,,connapa01
398,Yanic Konan Niederhäuser,22,LAC,C,16,0,126,0.724,4.0,0.966,0.586,0.345,0.034,0.000,0.034,0.750,0.765,0.700,1.000,,0.000,0.810,,0.414,12,0.000,,0,0,,konanya01
399,Keshad Johnson,24,MIA,SF,14,0,126,0.356,11.7,0.600,0.378,0.200,0.000,0.022,0.400,0.407,0.529,0.111,,1.000,0.278,0.364,0.800,0.178,6,0.333,0.333,0,0,,johnske10
400,Mason Plumlee,35,CHO,C,14,2,125,0.750,1.4,1.000,0.833,0.167,0.000,0.000,0.000,0.750,0.900,0.000,,,,0.889,,0.333,4,,,0,0,,plumlma01
401,Kasparas Jakučionis,19,MIA,PG,8,1,125,0.333,16.2,0.417,0.250,0.139,0.028,0.000,0.583,0.200,0.333,0.000,0.000,,0.429,0.333,1.000,0.000,0,0.429,0.667,0,0,,jakucka01
402,Chris Youngblood,23,OKC,SG,24,0,123,0.306,23.1,0.139,0.028,0.083,0.028,0.000,0.861,0.400,1.000,0.333,0.000,,0.290,1.000,1.000,0.000,0,0.258,0.250,0,0,,youngch01
403,Javon Small,23,MEM,PG,11,0,123,0.324,19.0,0.351,0.081,0.162,0.108,0.000,0.649,0.385,1.000,0.167,0.250,,0.292,0.800,0.714,0.000,0,0.042,1.000,0,0,,smallja01
404,Nolan Traoré,19,BRK,PG,10,0,123,0.375,16.4,0.500,0.125,0.188,0.156,0.031,0.500,0.375,0.250,0.500,0.400,0.000,0.375,0.833,1.000,0.000,0,0.250,0.000,0,0,,traorno01
405,Taelon Peter,23,IND,SG,20,0,122,0.294,25.2,0.059,0.000,0.029,0.000,0.029,0.941,0.500,,1.000,,0.000,0.281,0.000,0.889,0.000,0,0.281,0.111,0,0,,peterta01
406,Bradley Beal,32,LAC,SG,6,6,121,0.375,16.1,0.604,0.125,0.146,0.208,0.125,0.396,0.379,0.500,0.571,0.200,0.333,0.368,0.727,1.000,0.000,0,0.211,0.250,0,0,,bealbr01
407,Dereck Lively II,21,DAL,C,7,4,115,0.611,2.0,1.000,0.778,0.222,0.000,0.000,0.000,0.611,0.643,0.500,,,,0.727,,0.444,8,,,0,0,,livelde01
408,Lindy Waters III,28,SAS,SG,17,0,111,0.394,23.6,0.121,0.030,0.030,0.030,0.030,0.879,0.750,0.000,1.000,1.000,1.000,0.345,0.333,1.000,0.000,0,0.345,0.500,0,0,,waterli01
409,Luke Travers,24,CLE,SG,12,0,103,0.250,12.7,0.556,0.361,0.167,0.000,0.028,0.444,0.400,0.462,0.333,,0.000,0.063,0.625,1.000,0.056,2,0.250,0.250,0,0,,travelu01
410,Xavier Tillman Sr.,27,BOS,C,11,1,103,0.500,14.0,0.536,0.214,0.286,0.036,0.000,0.464,0.733,0.833,0.625,1.000,,0.231,0.727,1.000,0.000,0,0.231,0.000,0,0,,tillmxa01
411,Christian Koloko,25,2TM,C,7,1,99,0.455,4.0,1.000,0.455,0.364,0.182,0.000,0.000,0.455,0.800,0.250,0.000,,,1.000,,0.364,3,,,0,0,,kolokch01
411,Christian Koloko,25,LAL,C,2,0,6,,,,,,,,,,,,,,,,,,0,,,0,0,,kolokch01
411,Christian Koloko,25,MEM,C,5,1,93,0.455,4.0,1.000,0.455,0.364,0.182,0.000,0.000,0.455,0.800,0.250,0.000,,,1.000,,0.364,3,,,0,0,,kolokch01
412,Blake Wesley,22,POR,SG,6,0,98,0.412,12.6,0.706,0.353,0.088,0.147,0.118,0.294,0.500,0.667,0.667,0.200,0.250,0.200,0.167,1.000,0.000,0,0.100,0.000,0,0,,weslebl01
413,Andre Jackson Jr.,24,MIL,SG,15,0,97,0.292,19.5,0.375,0.125,0.083,0.125,0.042,0.625,0.444,1.000,0.500,0.000,0.000,0.200,1.000,0.667,0.083,2,0.267,0.000,0,0,,jacksan01
414,Jordan McLaughlin,29,SAS,PG,14,0,94,0.483,15.4,0.448,0.310,0.103,0.034,0.000,0.552,0.615,0.778,0.333,0.000,,0.375,0.250,1.000,0.000,0,0.375,0.167,0,0,,mclaujo01
415,Jamal Cain,26,ORL,SF,11,0,93,0.393,14.8,0.536,0.250,0.143,0.107,0.036,0.464,0.533,0.429,0.500,0.667,1.000,0.231,0.750,1.000,0.036,1,0.692,0.222,0,0,,cainja01
416,Devin Carter,23,SAC,PG,10,0,93,0.333,17.3,0.444,0.111,0.250,0.083,0.000,0.556,0.438,1.000,0.333,0.000,,0.250,0.286,1.000,0.056,2,0.050,1.000,0,0,,cartede02
417,Chris Boucher,33,BOS,PF,8,0,91,0.318,15.7,0.455,0.273,0.136,0.000,0.045,0.545,0.600,0.833,0.333,,0.000,0.083,0.667,1.000,0.045,1,0.250,0.000,0,0,,bouchch01
418,JD Davison,23,HOU,PG,15,0,89,0.450,16.9,0.500,0.050,0.250,0.150,0.050,0.500,0.500,1.000,0.400,0.333,1.000,0.400,0.600,1.000,0.000,0,0.300,0.000,0,0,,davisjd01
419,Adou Thiero,21,LAL,SF,15,0,87,0.389,4.0,0.944,0.611,0.333,0.000,0.000,0.056,0.412,0.545,0.167,,,0.000,0.714,,0.222,3,0.000,,0,0,,thierad01
420,Obi Toppin,27,IND,PF,3,0,82,0.417,14.8,0.528,0.222,0.167,0.111,0.028,0.472,0.632,0.625,0.667,0.750,0.000,0.176,0.417,1.000,0.139,3,0.176,0.000,0,0,,toppiob01
421,Eric Gordon,37,PHI,SG,6,0,74,0.571,18.9,0.333,0.238,0.095,0.000,0.000,0.667,0.571,0.800,0.000,,,0.571,0.750,1.000,0.000,0,0.143,1.000,0,0,,gordoer01
422,AJ Johnson,21,WAS,SG,15,0,70,0.238,10.3,0.714,0.238,0.476,0.000,0.000,0.286,0.200,0.200,0.200,,,0.333,0.667,1.000,0.048,1,0.167,0.000,0,0,,johnsaj01
423,Khaman Maluach,19,PHO,C,15,0,70,0.375,9.1,0.750,0.500,0.188,0.063,0.000,0.250,0.500,0.625,0.333,0.000,,0.000,1.000,,0.250,4,0.250,0.000,0,0,,maluakh01
424,PJ Hall,23,2TM,C,10,0,68,0.600,6.6,0.850,0.650,0.200,0.000,0.000,0.150,0.647,0.769,0.250,,,0.333,1.000,1.000,0.350,5,0.333,0.000,0,0,,hallpj01
424,PJ Hall,23,MEM,C,7,0,27,0.556,11.3,0.667,0.333,0.333,0.000,0.000,0.333,0.667,1.000,0.333,,,0.333,1.000,1.000,0.111,1,0.333,0.000,0,0,,hallpj01
424,PJ Hall,23,CHO,C,3,0,41,0.636,1.8,1.000,0.909,0.091,0.000,0.000,0.000,0.636,0.700,0.000,,,,1.000,,0.545,4,,,0,0,,hallpj01
425,David Jones García,24,SAS,SF,10,0,67,0.520,7.7,0.800,0.520,0.280,0.000,0.000,0.200,0.500,0.385,0.714,,,0.600,0.100,0.667,0.040,1,0.000,,0,0,,jonesda06
426,Micah Potter,27,IND,C,4,0,67,0.462,14.4,0.462,0.385,0.077,0.000,0.000,0.538,0.667,0.600,1.000,,,0.286,1.000,1.000,0.077,1,0.571,0.000,0,0,,pottemi01
427,Elijah Harkless,25,UTA,SG,7,0,66,0.364,19.0,0.364,0.182,0.000,0.091,0.091,0.636,0.500,0.500,,0.000,1.000,0.286,0.000,1.000,0.000,0,0.286,1.000,0,0,,harklej01
428,Monte Morris,30,IND,PG,6,0,65,0.350,13.8,0.600,0.250,0.200,0.100,0.050,0.400,0.417,0.600,0.250,0.500,0.000,0.250,0.600,1.000,0.000,0,0.375,0.000,0,0,,morrimo01
429,Bismack Biyombo,33,SAS,C,10,1,64,0.667,2.4,1.000,0.833,0.167,0.000,0.000,0.000,0.667,0.800,0.000,,,,0.750,,0.667,4,,,0,0,,biyombi01
430,Drew Peterson,26,CHO,PF,6,0,64,0.125,20.2,0.250,0.188,0.063,0.000,0.000,0.750,0.500,0.667,0.000,,,0.000,0.500,,0.000,0,0.417,0.000,0,0,,peterdr01
431,Jeff Green,39,HOU,PF,14,0,63,0.478,20.1,0.304,0.130,0.130,0.043,0.000,0.696,0.571,0.667,0.667,0.000,,0.438,0.750,1.000,0.000,0,0.313,0.600,0,0,,greenje02
432,Jonathan Mogbo,24,TOR,PF,13,0,62,0.500,2.2,1.000,0.750,0.250,0.000,0.000,0.000,0.500,0.444,0.667,,,,0.500,,0.250,1,,,0,0,,mogbojo01
433,James Wiseman,24,IND,C,4,1,58,0.600,4.6,1.000,0.500,0.400,0.000,0.100,0.000,0.600,0.800,0.500,,0.000,,0.667,,0.400,4,,,0,0,,wisemja01
434,Cody Martin,30,IND,SF,4,0,55,0.200,15.5,0.500,0.100,0.300,0.100,0.000,0.500,0.400,1.000,0.333,0.000,,0.000,0.500,,0.100,1,0.400,0.000,0,0,,martico01
435,Leonard Miller,22,MIN,SF,12,0,54,0.556,10.7,0.611,0.444,0.167,0.000,0.000,0.389,0.818,0.875,0.667,,,0.143,0.778,1.000,0.000,0,0.857,0.167,0,0,,millele01
436,Joan Beringer,19,MIN,PF,12,0,53,0.615,1.1,1.000,0.923,0.077,0.000,0.000,0.000,0.615,0.667,0.000,,,,0.875,,0.615,8,,,0,0,,berinjo01
437,Bobi Klintman,22,DET,SF,6,0,53,0.333,16.0,0.476,0.143,0.286,0.000,0.048,0.524,0.400,0.333,0.500,,0.000,0.273,0.750,1.000,0.048,1,0.364,0.000,0,0,,klintbo01
438,Antonio Reeves,25,CHO,SG,6,0,53,0.500,17.6,0.375,0.188,0.125,0.063,0.000,0.625,0.500,0.667,0.000,1.000,,0.500,0.667,1.000,0.063,1,0.400,0.750,0,0,,reevean01
439,Doug McDermott,34,SAC,SF,5,0,50,0.438,25.6,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.438,,1.000,0.000,0,0.313,0.800,0,0,,mcderdo01
440,Hunter Tyson,25,DEN,PF,12,0,49,0.238,15.7,0.476,0.143,0.286,0.000,0.048,0.524,0.300,0.667,0.167,,0.000,0.182,0.333,1.000,0.048,1,0.182,0.000,0,0,,tysonhu01
441,Matisse Thybulle,28,POR,SG,4,0,49,0.600,16.1,0.400,0.400,0.000,0.000,0.000,0.600,0.500,0.500,,,,0.667,0.000,1.000,0.000,0,0.000,,0,0,,thybuma01
442,Kevin McCullar Jr.,24,NYK,SF,6,0,47,0.636,20.2,0.182,0.182,0.000,0.000,0.000,0.818,1.000,1.000,,,,0.556,1.000,0.800,0.000,0,0.333,0.333,0,0,,mcculke01
443,Dorian Finney-Smith,32,HOU,PF,3,0,45,0.375,24.6,0.125,0.000,0.000,0.125,0.000,0.875,0.000,,,0.000,,0.429,,1.000,0.000,0,0.000,,0,0,,finnedo01
444,Caleb Houstan,23,ATL,SF,8,0,43,0.462,20.2,0.231,0.077,0.154,0.000,0.000,0.769,0.333,1.000,0.000,,,0.500,1.000,1.000,0.000,0,0.200,0.500,0,0,,houstca01
445,Kyle Lowry,39,PHI,PG,5,0,43,0.400,25.2,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.400,,1.000,0.000,0,0.200,1.000,0,0,,lowryky01
446,Marcus Sasser,25,DET,PG,5,0,43,0.571,18.8,0.357,0.071,0.214,0.071,0.000,0.643,0.600,0.000,1.000,0.000,,0.556,0.667,0.600,0.000,0,0.222,0.500,0,0,,sassema01
447,Wendell Moore Jr.,24,DET,SG,3,0,43,0.500,6.5,0.833,0.167,0.667,0.000,0.000,0.167,0.600,1.000,0.500,,,0.000,0.333,,0.167,1,1.000,0.000,0,0,,moorewe01
448,Dario Šarić,31,SAC,C,5,0,41,0.167,15.3,0.500,0.333,0.000,0.000,0.167,0.500,0.000,0.000,,,0.000,0.333,,1.000,0.000,0,0.667,0.500,0,0,,saricda01
449,Anthony Gill,33,WAS,PF,13,0,40,0.600,6.4,0.800,0.700,0.100,0.000,0.000,0.200,0.625,0.571,1.000,,,0.500,0.600,1.000,0.200,2,0.500,1.000,0,0,,gillan01
450,Johni Broome,23,PHI,C,7,0,40,0.200,6.9,0.850,0.400,0.400,0.050,0.000,0.150,0.235,0.375,0.125,0.000,,0.000,0.250,,0.050,0,0.333,0.000,0,0,,broomjo01
451,Johnny Juzang,24,MIN,SG,12,0,38,0.450,19.8,0.300,0.100,0.100,0.050,0.050,0.700,0.667,1.000,0.500,0.000,1.000,0.357,0.500,0.600,0.000,0,0.429,0.167,0,0,,juzanjo01
452,Trey Alexander,22,NOP,SG,3,0,37,0.667,12.8,0.667,0.222,0.222,0.222,0.000,0.333,0.667,0.500,0.500,1.000,,0.667,0.500,1.000,0.000,0,1.000,0.667,0,0,,alexatr01
453,Pacome Dadiet,20,NYK,SG,11,0,36,0.125,21.2,0.375,0.125,0.000,0.000,0.250,0.625,0.333,1.000,,,0.000,0.000,1.000,,0.000,0,0.200,0.000,0,0,,dadiepa01
454,Lachlan Olbrich,22,CHI,C,5,0,36,0.167,13.6,0.500,0.333,0.167,0.000,0.000,0.500,0.333,0.500,0.000,,,0.000,1.000,,0.000,0,0.333,0.000,0,0,,olbrila01
455,Tyson Etienne,26,BRK,PG,8,0,34,0.267,24.2,0.133,0.000,0.067,0.000,0.067,0.867,0.000,,0.000,,0.000,0.308,,1.000,0.000,0,0.154,0.000,0,0,,etienty01
456,DaRon Holmes,23,DEN,PF,4,0,34,0.833,17.6,0.333,0.167,0.167,0.000,0.000,0.667,1.000,1.000,1.000,,,0.750,1.000,1.000,0.333,2,0.500,1.000,0,0,,holmeda01
457,Mac McClung,27,IND,SG,3,0,34,0.389,17.3,0.444,0.222,0.167,0.056,0.000,0.556,0.625,0.750,0.333,1.000,,0.200,0.800,0.500,0.000,0,0.000,,0,0,,mccluma01
458,Trey Jemison,26,NYK,C,5,0,33,1.000,3.6,1.000,0.333,0.667,0.000,0.000,0.000,1.000,1.000,1.000,,,,1.000,,0.333,1,,,0,0,,jemistr01
459,Emanuel Miller,25,CHI,PF,5,0,33,0.462,15.2,0.538,0.231,0.231,0.000,0.077,0.462,0.571,0.333,0.667,,1.000,0.333,1.000,1.000,0.000,0,0.333,1.000,0,0,,milleem01
460,Pete Nance,25,MIL,PF,9,0,32,0.500,18.2,0.357,0.143,0.214,0.000,0.000,0.643,0.600,1.000,0.333,,,0.444,1.000,1.000,0.000,0,0.111,0.000,0,0,,nancepe01
461,Myron Gardner,24,MIA,SF,8,0,32,0.400,16.1,0.400,0.200,0.200,0.000,0.000,0.600,0.250,0.000,0.500,,,0.500,1.000,1.000,0.000,0,0.333,0.000,0,0,,gardnmy01
462,Jahmyl Telfort,24,LAC,PF,8,0,32,0.000,24.1,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,0.000,0,0.500,0.000,0,0,,telfoja01
463,E.J. Liddell,25,BRK,PF,7,0,32,0.417,18.7,0.333,0.167,0.167,0.000,0.000,0.667,0.750,1.000,0.500,,,0.250,0.333,1.000,0.083,1,0.250,0.500,0,0,,liddeej01
464,Seth Curry,35,GSW,SG,2,0,32,0.667,17.6,0.556,0.111,0.222,0.000,0.222,0.444,0.800,1.000,0.500,,1.000,0.500,0.500,1.000,0.000,0,0.000,,0,0,,curryse01
465,Amari Williams,24,BOS,PF,6,0,31,0.500,5.5,1.000,0.000,1.000,0.000,0.000,0.000,0.500,,0.500,,,,1.000,,0.000,0,,,0,0,,william01
466,Javonte Cooke,26,POR,SG,5,0,31,0.250,13.5,0.583,0.250,0.333,0.000,0.000,0.417,0.286,0.333,0.250,,,0.200,1.000,0.000,0.083,1,0.000,,0,0,,cookeja01
467,Charles Bassey,25,MEM,C,2,0,31,0.375,4.4,1.000,0.375,0.500,0.125,0.000,0.000,0.375,0.667,0.250,0.000,,,0.667,,0.375,2,,,0,0,,bassech01
468,Kam Jones,23,IND,SG,5,0,30,0.583,12.0,0.667,0.167,0.417,0.083,0.000,0.333,0.750,1.000,0.600,1.000,,0.250,0.333,1.000,0.000,0,0.500,0.000,0,0,,joneska03
469,Jalen Green,23,PHO,SG,2,2,30,0.478,18.6,0.391,0.174,0.087,0.000,0.130,0.609,0.556,0.250,0.500,,1.000,0.429,0.000,1.000,0.043,0,0.143,1.000,0,0,,greenja05
470,Thanasis Antetokounmpo,33,MIL,SF,11,0,29,0.667,2.2,1.000,0.667,0.333,0.000,0.000,0.000,0.667,0.667,0.667,,,,0.667,,0.333,3,,,0,0,,antetth01
471,Joe Ingles,38,MIN,SF,9,0,27,0.000,27.4,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,0.000,0,0.000,,0,0,,inglejo01
472,Garrett Temple,39,TOR,SG,9,0,27,0.167,18.6,0.333,0.000,0.333,0.000,0.000,0.667,0.000,,0.000,,,0.250,,1.000,0.000,0,0.250,0.000,0,0,,templga01
