all_players_and_stats_2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK,PICK,YEAR,HEIGHT,NAME,,TEAM,CONF,G,ROLE,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,DUNKS,DUNKS %,CLOSE 2,CLOSE 2 %,FAR 2,FAR 2 %,FT,FT %,2P,2P %,3P/100,3P,3P %
1844,-,Sr,6-0,Jaquan Carlos,42.4,Syracuse,ACC,33,Scoring PG,70.1,0.6,2.4,-1.0,-1.6,0.6,99.1,106.9,15.5,45.0,48.8,1.4,7.7,24.1,23.8,2.2,0.6,2.2,31.5,2.7,0-0,0.000,39-67,0.582,17-61,0.279,40-57,0.702,56-128,0.438,3.2,17-53,0.321
1845,-,Sr,6-9,Romelle Mansel,65.8,Jackson St.,SWAC,31,Wing F,72.9,0.6,2.6,-0.9,-1.5,0.6,98.7,108.6,19.4,44.6,48.3,6.2,17.4,16.8,16.6,1.5,3.3,1.5,53.5,3.1,37-43,0.860,74-112,0.661,36-115,0.313,83-139,0.597,110-227,0.485,1.9,4-33,0.121
1846,-,Jr,6-4,Dante Sawyer,0,Arkansas Pine Bluff,SWAC,29,Wing G,53.6,0.6,0.2,-7.0,-2.4,-4.6,100.3,129.2,20.2,51.1,55.0,4.2,8.1,9.7,18.3,0.8,0.6,1.2,37.6,3.6,0-1,0.000,73-126,0.579,13-32,0.406,52-71,0.732,86-158,0.544,2.7,7-31,0.226
1847,-,Fr,6-0,Caleb Williams,0,Lafayette,Pat,32,Combo G,69.0,0.6,2.0,-3.5,-1.7,-1.9,95.4,111.0,24.5,45.6,49.0,3.2,12.6,17.4,15.2,1.4,0.1,1.7,25.9,2.4,0-0,0.000,38-79,0.481,26-80,0.325,60-83,0.723,64-159,0.403,11.0,55-162,0.340
1848,-,Fr,6-6,Stoney Hadnot,39,South Dakota St.,Sum,29,Wing F,42.7,0.6,1.6,-1.2,-1.7,0.5,103.9,104.4,18.5,57.4,59.2,7.6,18.4,7.0,24.2,0.5,3.3,1.2,52.2,4.1,8-8,1.000,52-76,0.684,5-14,0.357,38-60,0.633,57-90,0.633,2.9,6-25,0.240
1849,-,Fr,6-11,Evan Otten,0,Idaho St.,BSky,27,C,54.9,0.6,2.2,-1.1,-3.2,2.1,110.2,103.0,13.2,54.4,56.2,10.7,18.4,2.8,19.4,0.4,11.6,1.4,41.2,5.7,17-23,0.739,42-68,0.618,12-32,0.375,26-42,0.619,54-100,0.540,0.2,1-2,0.500
1850,-,Jr,6-9,Joshua Streit,0,Nebraska Omaha,Sum,33,C,48.2,0.6,1.4,-0.1,-1.1,0.9,119.0,111.1,8.5,56.9,51.7,10.6,11.5,9.6,18.1,2.1,3.2,1.7,52.9,4.7,1-2,0.500,25-42,0.595,4-9,0.444,8-27,0.296,29-51,0.569,0.0,0-0,0.000
1851,-,Jr,6-8,LJ Wells,0,Northern Kentucky,Horz,30,Wing F,51.4,0.6,2.0,-2.3,-2.3,0.0,101.0,104.4,19.2,48.5,51.4,8.1,20.7,8.6,17.3,0.9,1.7,2.4,41.2,3.9,9-9,1.000,49-85,0.576,23-56,0.411,44-70,0.629,72-141,0.511,2.7,7-29,0.241
1852,-,So,6-6,Nils Cooper,79.6,UC Davis,BW,28,Wing F,41.7,0.6,1.6,-2.0,-2.5,0.6,113.4,105.2,11.9,47.3,54.3,8.7,13.8,5.8,12.7,1.4,0.9,2.1,65.8,4.3,17-17,1.000,31-48,0.646,2-13,0.154,35-48,0.729,33-61,0.541,1.4,1-12,0.083
1853,-,Sr,6-7,Sam Lecholat,0,Montana St.,BSky,31,Stretch 4,44.3,0.6,1.6,-1.1,-1.8,0.7,107.8,106.9,14.8,48.9,54.8,7.3,12.9,10.2,17.9,1.2,3.9,1.6,48.4,4.1,1-1,1.000,25-43,0.581,2-3,0.667,35-46,0.761,27-46,0.587,5.2,13-49,0.265
1854,-,Sr,6-5,Jeremiah Hernandez,0,Ball St.,MAC,28,Combo G,50.5,0.6,1.3,-2.9,-2.2,-0.7,103.2,113.1,18.9,47.0,54.3,2.7,8.7,15.0,18.3,1.3,0.4,2.3,59.3,3.1,2-2,1.000,29-55,0.527,12-35,0.343,61-80,0.762,41-90,0.456,4.6,15-45,0.333
1855,-,Sr,6-5,David Brown III,0,Loyola MD,Pat,30,Wing G,50.9,0.6,0.9,-3.7,-1.8,-1.9,114.6,118.5,11.9,49.6,53.7,4.0,8.8,9.6,11.5,2.5,1.3,1.1,16.9,2.6,0-0,0.000,19-38,0.500,2-6,0.333,20-20,1.000,21-44,0.477,7.2,25-74,0.338
1856,-,Jr,6-5,Shane Dezonie,80.6,Temple,Amer,28,Wing G,54.5,0.6,2.2,-1.5,-1.7,0.1,95.8,106.1,20.7,41.9,49.0,7.5,15.1,12.1,22.6,0.8,1.4,3.3,51.1,4.0,4-4,1.000,35-76,0.461,14-44,0.318,68-91,0.747,49-120,0.408,4.8,17-58,0.293
1857,-,So,6-3,DeAndre Williams,0,Holy Cross,Pat,26,Scoring PG,63.4,0.6,1.5,-5.1,-3.4,-1.7,98.1,117.0,20.3,47.1,50.1,1.0,11.0,23.9,20.3,1.9,1.0,1.7,17.0,2.9,0-0,0.000,30-51,0.588,37-75,0.493,29-35,0.829,67-126,0.532,6.3,20-80,0.250
1858,-,Fr,6-0,Bryce Eaton,0,Saint Peter's,MAAC,27,Scoring PG,65.0,0.6,2.0,-3.6,-2.2,-1.4,92.5,109.5,27.5,42.9,46.7,3.7,9.0,22.2,23.3,0.9,0.0,2.1,17.3,3.6,0-0,0.000,23-62,0.371,31-98,0.316,45-51,0.882,54-160,0.338,11.8,48-134,0.358
1859,-,Sr,6-8,Isaiah Gaines,0,Radford,BSth,31,PF/C,52.0,0.6,1.7,-1.3,-1.6,0.3,108.7,108.9,14.3,46.5,52.4,10.8,16.9,8.5,19.4,1.0,3.8,1.2,61.6,4.7,4-8,0.500,36-73,0.493,7-14,0.500,42-61,0.689,43-87,0.494,1.1,2-12,0.167
1860,-,So,6-10,Peyton Smith,0,Fairfield,MAAC,31,PF/C,44.9,0.6,1.2,-4.1,-3.0,-1.1,99.4,112.2,21.7,45.0,48.8,7.8,17.8,5.9,12.5,0.7,5.5,1.9,26.8,4.7,4-6,0.667,64-124,0.516,17-51,0.333,38-51,0.745,81-175,0.463,1.6,3-15,0.200
1861,-,Jr,6-0,Trae English,0,Nicholls St.,Slnd,30,Scoring PG,52.6,0.6,1.7,-2.4,-2.4,0.0,97.9,109.0,19.4,41.2,46.6,2.5,7.5,23.8,19.4,1.8,0.0,2.8,32.4,3.1,0-0,0.000,30-79,0.380,16-39,0.410,43-55,0.782,46-118,0.390,4.8,16-52,0.308
1862,-,Jr,6-7,Prince Aligbe,75.6,Seton Hall,BE,32,Wing G,57.7,0.6,2.3,-2.3,-2.5,0.2,92.6,103.1,20.4,46.5,49.2,5.1,15.0,6.2,18.2,0.4,1.9,2.2,27.0,2.7,11-14,0.786,81-138,0.587,18-66,0.273,41-61,0.672,99-204,0.485,1.8,4-22,0.182
1863,-,So,6-4,Simeon Wilcher,93.4,St. John's,BE,36,Combo G,62.7,0.6,3.4,0.2,-3.0,3.2,96.9,92.2,16.8,46.6,48.5,1.6,6.2,9.0,18.9,1.0,1.9,2.4,13.6,4.2,5-6,0.833,50-78,0.641,31-91,0.341,28-38,0.737,81-169,0.479,6.9,33-111,0.297
1864,-,So,6-4,AJ Clark,0,VMI,SC,29,Wing G,53.6,0.6,2.3,2.6,-1.3,3.9,112.6,102.4,12.2,58.2,60.3,4.0,18.1,11.2,18.0,1.5,5.8,4.9,63.7,3.7,15-17,0.882,47-68,0.691,0-6,0.000,37-58,0.638,47-74,0.635,1.5,4-17,0.235
1865,-,Sr,6-9,Makai Willis,0,Louisiana Monroe,SB,30,PF/C,78.3,0.6,2.0,-4.3,-2.5,-1.9,98.2,113.8,18.6,47.4,51.8,8.3,17.9,5.1,18.7,0.5,3.2,1.6,34.5,2.6,13-15,0.867,65-116,0.560,35-102,0.343,64-86,0.744,100-218,0.459,1.9,12-31,0.387
1866,-,Fr,6-7,Victor Panov,0,Drexel,CAA,31,Stretch 4,54.1,0.6,1.9,-2.1,-2.1,0.0,105.0,107.5,16.9,50.9,52.7,7.5,14.1,10.1,19.5,1.1,2.1,0.9,19.3,3.4,2-2,1.000,38-60,0.633,24-45,0.533,22-32,0.688,62-105,0.590,5.4,15-61,0.246
1867,-,Fr,6-9,Shadrak Lasu,0,LIU,NEC,29,PF/C,67.8,0.6,2.7,-1.7,-2.6,1.0,112.5,104.6,11.9,53.0,56.6,11.0,19.1,3.4,17.5,0.6,6.1,1.5,56.4,3.9,12-15,0.800,55-97,0.567,4-10,0.400,44-66,0.667,59-107,0.551,0.7,2-10,0.200
1868,-,So,6-4,Armoni Zeigler,0,Saint Peter's,MAAC,26,Wing G,73.1,0.6,3.0,-0.6,-1.8,1.2,98.3,103.2,20.5,47.4,51.0,5.5,18.2,11.5,21.3,0.7,0.8,3.0,31.9,2.4,4-6,0.667,72-143,0.503,14-29,0.483,52-73,0.712,86-172,0.500,4.5,15-57,0.263
1869,-,Jr,6-0,Landin Hacker,0,Bellarmine,ASun,28,Combo G,43.1,0.6,0.3,-5.4,-1.9,-3.5,112.3,127.0,13.3,60.7,62.2,0.3,8.8,9.2,15.0,1.6,1.3,0.9,19.4,3.8,0-0,0.000,11-15,0.733,8-14,0.571,15-20,0.750,19-29,0.655,8.7,29-74,0.392
1870,-,Sr,6-2,Braxton Bayless,0,Western Kentucky,CUSA,30,Combo G,55.7,0.6,2.1,-2.1,-2.2,0.2,93.8,104.1,20.5,51.0,52.2,2.8,12.0,18.9,22.7,1.2,0.0,2.3,24.0,3.6,1-1,1.000,34-63,0.540,36-84,0.429,28-47,0.596,70-147,0.476,4.0,20-49,0.408
1871,-,Jr,6-9,Filip Borovicanin,79.4,New Mexico,MWC,34,Wing F,56.7,0.6,2.8,1.4,-1.0,2.4,101.5,95.8,13.9,47.9,50.0,5.2,17.4,8.2,17.3,1.1,1.0,1.6,27.1,3.9,4-4,1.000,39-73,0.534,5-19,0.263,29-46,0.630,44-92,0.478,5.5,25-78,0.321
1872,-,Sr,6-5,Derrick Tezeno,0,Southern,SWAC,26,Wing F,46.0,0.6,1.9,-1.5,-1.5,0.0,106.0,104.6,15.5,52.1,56.2,6.4,18.6,4.4,18.6,0.4,1.1,1.6,48.3,2.7,5-5,1.000,45-80,0.563,6-19,0.316,40-57,0.702,51-99,0.515,2.0,7-19,0.368
1873,-,Jr,6-0,Sam Hoiberg,0,Nebraska,B10,35,Combo G,57.4,0.6,2.7,2.1,-2.0,4.1,106.7,97.3,10.3,52.8,57.0,1.6,9.2,13.3,23.5,1.9,0.8,3.4,26.4,3.4,0-0,0.000,23-41,0.561,3-9,0.333,24-28,0.857,26-50,0.520,4.0,20-56,0.357
1874,-,Fr,6-6,Keenan Garner,0,IU Indy,Horz,29,Wing F,48.1,0.6,0.9,-3.8,-1.8,-2.0,105.4,118.8,16.1,45.6,50.5,10.4,17.5,7.6,16.9,1.0,1.1,3.1,67.6,4.4,4-4,1.000,36-67,0.537,3-19,0.158,43-69,0.623,39-86,0.453,1.7,5-16,0.313
1875,-,Sr,6-5,EJ Neal,0,Sacramento St.,BSky,29,Wing G,67.2,0.6,1.7,-2.0,-1.3,-0.8,102.4,113.6,16.8,48.8,51.1,3.0,11.8,11.9,13.9,1.6,2.2,2.0,16.0,3.8,0-0,0.000,23-43,0.535,7-22,0.318,26-34,0.765,30-65,0.462,11.4,49-147,0.333
1876,-,Sr,6-9,Abdou Tsimbila,43.8,Fordham,A10,32,C,48.5,0.6,1.6,-3.2,-2.9,-0.3,100.3,107.6,17.1,55.2,57.4,12.5,20.3,3.8,26.3,0.3,7.7,1.0,23.4,5.7,17-24,0.708,63-96,0.656,17-49,0.347,25-34,0.735,80-145,0.552,0.0,0-0,0.000
1877,-,Sr,6-6,Cade Haskins,0,Dartmouth,Ivy,25,Wing G,61.0,0.5,2.3,-0.1,-0.3,0.2,102.5,106.2,17.6,51.3,53.4,1.7,12.8,13.3,14.4,1.6,2.6,0.6,17.0,2.4,0-0,0.000,7-11,0.636,1-6,0.167,24-32,0.750,8-17,0.471,15.0,59-171,0.345
1878,-,Sr,6-5,Jaylani Darden,0,Norfolk St.,MEAC,30,Wing G,57.8,0.5,2.3,0.4,-1.3,1.7,103.9,104.5,16.7,49.7,53.3,5.6,16.4,16.8,22.8,1.6,1.0,3.4,27.2,4.3,1-1,1.000,44-78,0.564,14-35,0.400,34-44,0.773,58-113,0.513,3.9,15-49,0.306
1879,-,Jr,6-2,Anton Brookshire,70.8,Austin Peay,ASun,29,Scoring PG,61.6,0.5,1.5,-3.8,-1.7,-2.1,100.4,115.0,19.1,47.3,52.2,1.1,9.4,19.5,19.4,1.7,0.1,1.5,25.1,1.9,0-0,0.000,23-56,0.411,6-15,0.400,46-52,0.885,29-71,0.408,10.5,46-136,0.338
1880,-,Sr,6-8,Jeffrey Langston Jr.,0,Southern Utah,WAC,28,PF/C,41.1,0.5,1.3,-4.3,-3.6,-0.7,95.1,108.3,23.1,46.7,52.2,10.3,15.0,7.8,22.1,0.4,2.0,1.5,54.1,6.3,8-11,0.727,48-86,0.558,12-39,0.308,51-73,0.699,60-125,0.480,1.2,2-10,0.200
1881,-,Jr,6-7,Jayshayne Woodard,0,East Carolina,Amer,31,Wing G,52.4,0.5,2.0,0.5,-1.4,2.0,101.0,104.3,17.9,47.5,51.6,6.9,13.8,16.2,22.5,1.3,4.4,3.3,47.9,4.5,12-14,0.857,48-89,0.539,6-22,0.273,45-68,0.662,54-111,0.486,2.8,9-31,0.290
1882,-,So,6-9,Jaret Valencia,0,Monmouth,CAA,27,Stretch 4,46.3,0.5,1.5,-1.7,-1.3,-0.4,102.2,112.4,16.8,48.7,51.0,7.0,13.2,5.7,14.3,0.7,6.2,1.4,40.0,3.9,24-29,0.828,39-68,0.574,13-41,0.317,36-60,0.600,52-109,0.477,3.9,14-41,0.341
1883,-,Jr,6-4,Cord Stansberry,0,Western Carolina,SC,27,Combo G,74.7,0.5,1.8,-2.9,-1.7,-1.2,96.9,114.1,19.7,46.6,52.6,1.1,11.6,10.9,18.6,0.8,0.6,1.7,28.8,1.7,4-4,1.000,19-47,0.404,30-60,0.500,66-72,0.917,49-107,0.458,9.9,45-143,0.315
1884,-,So,6-5,Cole Farrell,0,Portland St.,BSky,28,Wing G,44.7,0.5,1.5,-1.6,-1.8,0.2,107.4,108.6,16.1,48.3,49.7,2.6,7.7,8.2,8.3,1.6,1.1,1.8,28.2,2.9,3-5,0.600,33-76,0.434,9-22,0.409,24-42,0.571,42-98,0.429,5.7,20-51,0.392
1885,-,Sr,6-9,Max Murrell,74,UC Santa Barbara,BW,30,Stretch 4,44.6,0.5,1.5,-0.8,-0.8,0.1,105.8,109.5,15.6,51.7,53.2,3.3,9.4,9.9,14.8,1.4,4.5,1.2,8.8,4.1,8-9,0.889,15-20,0.750,6-14,0.429,11-13,0.846,21-34,0.618,12.0,37-114,0.325
1886,-,Fr,6-1,Isaiah Mbeng,0,William & Mary,CAA,30,Pure PG,50.2,0.5,1.4,-1.2,-1.1,-0.1,99.8,111.3,19.4,47.6,50.3,2.7,7.0,30.8,24.6,2.0,0.2,3.9,24.7,2.4,0-0,0.000,27-44,0.614,2-12,0.167,25-36,0.694,29-56,0.518,8.4,27-90,0.300
1887,-,Jr,6-9,Louie Jordan,0,UMBC,AE,28,Stretch 4,54.2,0.5,1.1,-3.2,-1.0,-2.2,106.9,117.7,14.6,64.6,66.0,1.7,18.6,7.2,22.8,0.7,1.2,1.1,17.5,4.1,0-0,0.000,13-22,0.591,2-10,0.200,19-24,0.792,15-32,0.469,9.3,49-105,0.467
1888,-,Jr,6-4,Dan Gherezgher,0,Northern Kentucky,Horz,30,Combo G,50.0,0.5,1.4,-4.6,-2.3,-2.3,97.6,112.0,21.3,50.0,51.7,1.1,9.4,18.4,20.5,1.2,0.2,1.4,14.3,2.8,5-6,0.833,42-68,0.618,12-46,0.261,22-30,0.733,54-114,0.474,9.1,34-96,0.354
1889,-,Sr,6-2,Deven Dahlke,0,San Diego,WCC,32,Combo G,47.0,0.5,1.2,-2.2,-2.5,0.3,105.0,112.6,14.6,54.9,59.1,2.2,5.6,12.6,23.5,1.1,0.6,2.9,36.1,4.9,0-0,0.000,24-38,0.632,4-10,0.400,35-44,0.795,28-48,0.583,6.9,26-74,0.351
1890,-,Sr,6-6,Rondel Walker,81.6,North Texas,Amer,33,Wing G,56.2,0.5,2.8,3.2,-0.4,3.6,111.3,96.4,10.3,50.5,51.5,5.9,13.2,7.2,15.8,1.5,2.6,3.0,18.9,3.1,2-2,1.000,21-42,0.500,1-3,0.333,12-20,0.600,22-45,0.489,5.2,21-61,0.344
1891,-,Jr,6-10,Markus Harding,0,Indiana St.,MVC,27,Stretch 4,40.6,0.5,1.3,-1.7,-0.8,-0.9,96.1,111.5,21.3,52.2,53.6,8.4,17.6,17.2,26.3,1.0,1.8,1.5,26.5,3.4,7-7,1.000,39-71,0.549,5-12,0.417,22-36,0.611,44-82,0.537,6.1,18-54,0.333
1892,-,So,6-3,Jonah Hinton,0,St. Bonaventure,A10,33,Combo G,70.9,0.5,2.6,-1.9,-1.9,0.0,97.1,105.2,18.2,46.9,48.9,1.4,7.6,11.7,16.1,1.2,1.2,1.5,12.6,2.9,0-1,0.000,20-45,0.444,15-43,0.349,27-34,0.794,35-88,0.398,11.9,61-182,0.335
1893,-,So,5-11,Cam Gillus,0,Lehigh,Pat,27,Combo G,74.4,0.5,2.3,-2.1,-2.0,-0.1,98.4,110.3,19.2,46.2,49.4,2.5,14.9,15.8,14.1,1.7,0.3,2.6,34.4,2.9,0-0,0.000,32-60,0.533,10-36,0.278,50-76,0.658,42-96,0.438,8.9,40-125,0.320
1894,-,Fr,6-5,Jaxon Olvera,0,Pepperdine,WCC,34,Wing G,41.1,0.5,1.0,-3.5,-1.9,-1.6,99.7,114.1,18.3,49.7,51.1,3.6,7.3,7.1,12.5,1.0,0.6,1.3,19.8,3.8,3-4,0.750,19-33,0.576,39-83,0.470,22-35,0.629,58-116,0.500,6.3,20-61,0.328
1895,-,So,6-1,Jadin Collins-Roberts,0,Marist,MAAC,30,Combo G,81.4,0.5,2.9,-2.2,-3.0,0.7,100.6,105.8,18.2,47.7,50.4,5.1,13.9,21.8,21.9,1.8,0.6,2.3,30.1,2.3,1-1,1.000,71-115,0.617,20-53,0.377,43-65,0.662,91-168,0.542,3.0,8-48,0.167
1896,-,Sr,6-0,Wayne McKinney III,58.8,San Diego St.,MWC,30,Wing G,45.6,0.5,2.0,-2.5,-2.8,0.3,95.4,100.1,18.8,43.8,46.1,2.1,6.9,6.2,9.9,1.2,1.3,1.4,24.3,4.1,0-0,0.000,28-57,0.491,22-58,0.379,27-43,0.628,49-112,0.438,7.1,19-65,0.292
1897,-,Jr,6-6,Chris Mpaka,0,Tarleton St.,WAC,29,PF/C,49.7,0.5,2.2,-2.4,-3.6,1.2,89.9,100.6,26.0,49.4,52.2,12.3,20.1,5.7,23.8,0.2,9.8,2.4,60.1,5.8,22-23,0.957,62-117,0.530,22-54,0.407,61-104,0.587,84-171,0.491,0.2,1-2,0.500
1898,-,Sr,6-6,Femi Odukale,65.4,Minnesota,B10,32,Wing G,72.3,0.5,3.4,2.4,-0.9,3.4,91.7,98.3,18.7,46.0,47.1,5.2,12.7,23.5,25.7,1.6,4.4,3.1,29.9,3.9,12-14,0.857,52-91,0.571,21-64,0.328,31-60,0.517,73-155,0.471,3.0,13-46,0.283
1899,-,Sr,6-9,Kuluel Mading,51.8,Norfolk St.,MEAC,32,C,55.0,0.5,1.5,-2.7,-2.0,-0.7,105.0,111.9,16.2,58.2,57.3,8.6,12.8,4.7,20.0,0.5,6.6,0.2,33.3,4.1,37-39,0.949,69-105,0.657,10-26,0.385,26-53,0.491,79-131,0.603,2.3,9-28,0.321
1900,-,Sr,6-2,Romeo Myrthil,0,Dartmouth,Ivy,25,Wing G,78.1,0.5,3.1,-0.3,-2.1,1.7,108.1,104.0,12.7,48.3,50.3,3.9,13.9,10.0,8.6,2.7,1.2,1.8,12.7,2.1,4-5,0.800,48-81,0.593,5-18,0.278,18-23,0.783,53-99,0.535,5.6,23-82,0.280
1901,-,Jr,6-0,Braden Sparks,0,Fairfield,MAAC,31,Combo G,62.4,0.5,1.3,-4.0,-2.1,-1.9,94.4,116.8,23.2,45.4,49.4,1.5,12.2,15.8,18.4,1.1,0.0,2.2,22.7,2.5,0-0,0.000,27-62,0.435,28-69,0.406,51-62,0.823,55-131,0.420,11.0,46-142,0.324
1902,-,Sr,6-4,Kade Ruegsegger,0,Morehead St.,OVC,29,Wing G,48.4,0.5,1.1,-2.5,-0.8,-1.7,108.6,116.1,13.6,46.7,51.2,4.0,12.3,6.3,11.2,1.9,0.4,1.0,28.7,2.3,0-0,0.000,6-13,0.462,3-15,0.200,28-35,0.800,9-28,0.321,10.3,32-94,0.340
1903,-,Sr,6-7,Christian Turner,6.2,Texas St.,SB,23,Wing G,49.9,0.5,1.9,-0.1,-1.1,1.0,104.0,110.4,14.3,51.3,50.6,5.9,11.9,14.4,18.5,1.9,2.0,3.1,37.7,3.8,1-1,1.000,28-47,0.596,26-59,0.441,19-43,0.442,54-106,0.509,0.8,3-8,0.375
1904,-,So,7-0,Jazz Gardner,72.8,Pacific,WCC,31,PF/C,42.9,0.5,1.2,-2.5,-1.8,-0.7,108.4,112.4,12.9,57.5,56.5,9.4,14.1,2.3,16.1,0.6,3.5,0.8,15.9,4.3,15-15,1.000,48-69,0.696,12-36,0.333,7-17,0.412,60-105,0.571,0.2,1-2,0.500
1905,-,Sr,6-5,Taine Murray,82.4,Virginia,ACC,31,Combo G,45.2,0.5,1.5,-2.2,-1.6,-0.6,101.0,109.3,14.9,50.9,52.4,1.4,8.9,17.2,18.1,2.0,1.3,0.9,13.2,2.6,2-3,0.667,26-52,0.500,5-19,0.263,11-15,0.733,31-71,0.437,4.8,18-43,0.419
1906,-,So,6-8,Isaac Harrell,0,Elon,CAA,30,Wing F,51.2,0.5,1.6,-2.0,-2.0,0.0,113.9,110.2,10.2,56.1,57.2,5.3,14.1,4.2,18.0,0.7,1.1,1.8,22.4,3.5,2-3,0.667,15-21,0.714,1-12,0.083,14-22,0.636,16-33,0.485,6.2,26-65,0.400
1907,-,So,6-0,Tyshawn Archie,0,Tulsa,Amer,31,Combo G,54.1,0.5,1.7,-2.1,-1.7,-0.4,91.9,109.7,25.4,43.4,45.3,2.3,7.4,18.9,14.0,1.4,0.9,2.8,20.0,2.4,4-8,0.500,55-103,0.534,20-55,0.364,35-56,0.625,75-158,0.475,10.6,31-122,0.254
1908,-,Fr,5-11,Ben Hammond,60.2,Virginia Tech,ACC,29,Scoring PG,43.7,0.5,1.9,-1.0,-2.7,1.7,95.2,103.5,19.4,48.8,53.2,1.1,9.6,21.5,27.6,1.2,0.0,3.7,36.4,3.5,0-0,0.000,16-44,0.364,20-49,0.408,35-47,0.745,36-93,0.387,3.9,18-36,0.500
1909,-,Sr,6-2,Jordan Tillmon,0,Prairie View A&M,SWAC,31,Wing G,61.4,0.5,0.8,-6.0,-2.5,-3.6,96.3,122.3,21.3,44.0,47.0,2.1,12.7,11.9,10.1,1.6,0.7,1.7,21.2,3.6,0-0,0.000,46-79,0.582,29-83,0.349,44-60,0.733,75-162,0.463,8.9,33-121,0.273
1910,-,Jr,6-4,Landyn Jumawan,0,Northwestern St.,Slnd,29,Combo G,47.4,0.5,1.5,-2.0,-2.2,0.2,106.6,110.2,13.5,52.4,53.6,1.7,9.5,9.5,16.1,1.3,0.4,2.3,19.5,3.6,0-0,0.000,6-15,0.400,3-12,0.250,15-24,0.625,9-27,0.333,10.4,37-96,0.385
1911,-,Fr,6-3,Divine Ugochukwu,44.6,Miami FL,ACC,28,Scoring PG,45.3,0.5,1.1,-4.0,-3.2,-0.8,96.2,115.6,17.9,50.9,53.3,2.1,9.4,19.5,26.2,1.4,0.6,3.0,39.7,4.2,4-5,0.800,47-73,0.644,3-9,0.333,29-46,0.630,50-82,0.610,3.5,6-34,0.176
1912,-,So,6-7,Jonathan Dunn,0,Coppin St.,MEAC,25,Wing F,51.4,0.5,1.4,-5.8,-3.4,-2.3,95.9,114.9,22.6,48.7,51.9,7.4,13.5,7.8,17.1,0.4,1.2,1.6,50.0,4.9,17-17,1.000,77-130,0.592,9-44,0.205,58-93,0.624,86-174,0.494,1.2,3-12,0.250
1913,-,Sr,6-5,Jaren Johnson,0,Howard,MEAC,27,Wing G,55.3,0.5,1.1,-2.7,-1.3,-1.4,105.7,117.6,15.1,49.5,57.9,6.0,13.3,13.6,25.7,1.4,0.8,1.8,47.3,3.5,0-0,0.000,21-43,0.488,5-19,0.263,47-52,0.904,26-62,0.419,4.3,19-48,0.396
1914,-,Fr,6-0,Jeremy Clayville,0,Saint Francis,NEC,29,Combo G,44.0,0.5,1.0,-2.5,-0.7,-1.8,98.1,116.8,20.7,52.2,52.7,2.2,6.3,12.9,17.8,1.4,0.2,2.4,6.5,2.4,0-0,0.000,14-24,0.583,9-28,0.321,8-12,0.667,23-52,0.442,14.4,49-133,0.368
1915,-,Jr,6-3,Toby Nnadozie,0,Coppin St.,MEAC,29,Combo G,80.6,0.5,2.3,-1.2,-1.4,0.2,94.5,111.5,22.4,47.6,50.2,3.8,8.9,16.9,18.1,1.0,0.8,4.2,17.4,2.6,6-8,0.750,56-108,0.519,32-90,0.356,45-58,0.776,88-198,0.444,8.3,47-135,0.348
1916,-,Jr,6-4,George Marshall,0,Morehead St.,OVC,28,Wing G,47.0,0.5,1.3,-3.7,-2.2,-1.5,96.9,112.5,21.2,41.7,47.5,4.2,14.7,6.6,13.8,0.6,0.4,2.1,32.2,4.1,2-3,0.667,17-41,0.415,13-43,0.302,47-58,0.810,30-84,0.357,10.8,30-96,0.313
1917,-,So,6-1,Brandon Rechsteiner,71,Virginia Tech,ACC,32,Pure PG,54.7,0.5,1.6,-3.2,-1.5,-1.8,90.4,110.2,22.9,45.5,47.7,1.2,4.4,26.1,26.5,1.3,0.0,1.5,12.2,2.5,0-0,0.000,7-16,0.438,34-72,0.472,22-27,0.815,41-88,0.466,11.5,40-134,0.299
1918,-,Sr,6-2,Zion Russell,0,Niagara,MAAC,29,Combo G,53.0,0.5,1.1,-3.8,-2.3,-1.6,98.8,117.2,19.7,52.8,56.4,2.8,10.3,17.2,23.8,1.1,1.3,1.9,24.7,3.4,3-3,1.000,48-84,0.571,7-21,0.333,32-39,0.821,55-105,0.524,5.1,19-53,0.358
1919,-,Sr,6-4,Jordan Davis,7.6,Illinois St.,MVC,30,Stretch 4,49.5,0.5,1.7,-1.7,-0.6,-1.1,107.7,110.7,12.5,51.1,52.1,6.1,14.8,6.0,13.9,1.3,1.3,1.0,6.7,3.1,0-0,0.000,14-24,0.583,7-15,0.467,7-9,0.778,21-39,0.538,8.4,32-96,0.333
1920,-,So,6-0,BJ Ward,0,Southeast Missouri S,OVC,30,Combo G,70.7,0.5,2.2,-2.6,-2.0,-0.5,100.0,109.8,17.7,49.0,50.6,2.7,6.3,12.4,15.0,1.7,0.6,1.8,10.2,3.3,0-1,0.000,12-28,0.429,33-85,0.388,20-25,0.800,45-113,0.398,9.0,50-132,0.379
